family,pair,model,A_components,B_components,cos_sim,linf,bit_identical
gadget_union,"Gadget-union node-varied 1-WL pair (k=4)","Simple GCN (random)",2,5,1.0000001,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=4)","Hierarchical OPTFM (random)",2,5,0.99999994,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=5)","SGFormer+GCN (pretrained)",2,6,0.99999994,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=5)","SGFormer+GCN (random)",2,6,1.0000001,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=5)","TransConv only (random)",2,6,0.99999994,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=5)","GNN only (random)",2,6,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=5)","Simple GCN (random)",2,6,0.99999988,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=5)","Hierarchical OPTFM (random)",2,6,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=6)","SGFormer+GCN (pretrained)",2,7,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=6)","SGFormer+GCN (random)",2,7,0.99999988,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=6)","TransConv only (random)",2,7,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=6)","GNN only (random)",2,7,0.99999988,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=6)","Simple GCN (random)",2,7,1.0000001,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=6)","Hierarchical OPTFM (random)",2,7,1.0000001,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=8)","SGFormer+GCN (pretrained)",2,9,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=8)","SGFormer+GCN (random)",2,9,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=8)","TransConv only (random)",2,9,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=8)","GNN only (random)",2,9,1.0000001,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=8)","Simple GCN (random)",2,9,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=8)","Hierarchical OPTFM (random)",2,9,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=10)","SGFormer+GCN (pretrained)",2,11,0.99999994,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=10)","SGFormer+GCN (random)",2,11,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=10)","TransConv only (random)",2,11,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=10)","GNN only (random)",2,11,1.0000001,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=10)","Simple GCN (random)",2,11,0.99999994,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=10)","Hierarchical OPTFM (random)",2,11,1.0000001,0,True
